human.gene.stable.ID	human.gene.name	pig.gene.stable.ID	pig.gene.name	Last common ancestor with Pig
ENSG00000154175	ABI3BP	ENSSSCG00000011959	ABI3BP	Boreoeutheria
ENSG00000119328	ABITRAM	ENSSSCG00000005440	ENSSSCG00000005440	Boreoeutheria
ENSG00000097007	ABL1	ENSSSCG00000005706	ABL1	Boreoeutheria
ENSG00000143322	ABL2	ENSSSCG00000024674	ABL2	Boreoeutheria
ENSG00000099204	ABLIM1	ENSSSCG00000010651	ABLIM1	Boreoeutheria
ENSG00000163995	ABLIM2	ENSSSCG00000008721	ABLIM2	Eutheria
ENSG00000173210	ABLIM3	ENSSSCG00000014430	ABLIM3	Eutheria
ENSG00000159842	ABR	ENSSSCG00000017804	ABR	Boreoeutheria
ENSG00000174429	ABRA	ENSSSCG00000031728	ABRA	Boreoeutheria
ENSG00000146386	ABRACL	ENSSSCG00000004145	ABRACL	Boreoeutheria
ENSG00000163322	ABRAXAS1	ENSSSCG00000009234	ABRAXAS1	Boreoeutheria
ENSG00000165660	ABRAXAS2	ENSSSCG00000010737	ABRAXAS2	Eutheria
ENSG00000146109	ABT1	ENSSSCG00000038191	ABT1	Boreoeutheria
ENSG00000114626	ABTB1	ENSSSCG00000024827	ABTB1	Boreoeutheria
ENSG00000166016	ABTB2	ENSSSCG00000013303	ABTB2	Eutheria
ENSG00000151136	ABTB3	ENSSSCG00000000162	ABTB3	Eutheria
ENSG00000060971	ACAA1	ENSSSCG00000011250	ACAA1	Boreoeutheria
ENSG00000167315	ACAA2	ENSSSCG00000004510	ACAA2	Eutheria
ENSG00000278540	ACACA	ENSSSCG00000017694	ACACA	Eutheria
ENSG00000076555	ACACB	ENSSSCG00000061436	ACACB	Boreoeutheria
ENSG00000111271	ACAD10	ENSSSCG00000009836	ACAD10	Boreoeutheria
ENSG00000240303	ACAD11	ENSSSCG00000011629	ACAD11	Boreoeutheria
ENSG00000151498	ACAD8	ENSSSCG00000062444	ACAD8	Boreoeutheria
ENSG00000177646	ACAD9	ENSSSCG00000023354	ACAD9	Boreoeutheria
ENSG00000115361	ACADL	ENSSSCG00000016156	ACADL	Boreoeutheria
ENSG00000117054	ACADM	ENSSSCG00000003776	ACADM	Eutheria
ENSG00000122971	ACADS	ENSSSCG00000009916	ACADS	Boreoeutheria
ENSG00000196177	ACADSB	ENSSSCG00000010723	ACADSB	Boreoeutheria
ENSG00000072778	ACADVL	ENSSSCG00000017947	ACADVL	Boreoeutheria
ENSG00000157766	ACAN	ENSSSCG00000001832	ACAN	Eutheria
ENSG00000072818	ACAP1	ENSSSCG00000017943	ACAP1	Boreoeutheria
ENSG00000114331	ACAP2	ENSSSCG00000031147	ACAP2	Amniota
ENSG00000131584	ACAP3	ENSSSCG00000003329	ACAP3	Boreoeutheria
ENSG00000075239	ACAT1	ENSSSCG00000026153	ACAT1	Boreoeutheria
ENSG00000120437	ACAT2	ENSSSCG00000004049	ACAT2	Eutheria
ENSG00000182827	ACBD3	ENSSSCG00000024180	ACBD3	Boreoeutheria
ENSG00000181513	ACBD4	ENSSSCG00000017337	ACBD4	Boreoeutheria
ENSG00000107897	ACBD5	ENSSSCG00000011064	ACBD5	Boreoeutheria
ENSG00000230124	ACBD6	ENSSSCG00000015534	ACBD6	Boreoeutheria
ENSG00000176244	ACBD7	ENSSSCG00000038184	ACBD7	Eutheria
ENSG00000110455	ACCS	ENSSSCG00000013282	ACCS	Boreoeutheria
ENSG00000205126	ACCSL	ENSSSCG00000057793	ACCSL	Boreoeutheria
ENSG00000102977	ACD	ENSSSCG00000029590	ACD	Boreoeutheria
ENSG00000159640	ACE	ENSSSCG00000017296	ACE	Boreoeutheria
ENSG00000130234	ACE2	ENSSSCG00000012138	ACE2	Boreoeutheria
ENSG00000167769	ACER1	ENSSSCG00000023969	ACER1	Boreoeutheria
ENSG00000177076	ACER2	ENSSSCG00000034213	ACER2	Eutheria
ENSG00000078124	ACER3	ENSSSCG00000032723	ACER3	Eutheria
ENSG00000087085	ACHE	ENSSSCG00000030303	ACHE	Boreoeutheria
ENSG00000213088	ACKR1	ENSSSCG00000036223	ACKR1	Boreoeutheria
ENSG00000144648	ACKR2	ENSSSCG00000031154	ACKR2	Boreoeutheria
ENSG00000144476	ACKR3	ENSSSCG00000016322	ACKR3	Boreoeutheria
ENSG00000129048	ACKR4	ENSSSCG00000011630	ACKR4	Boreoeutheria
ENSG00000131473	ACLY	ENSSSCG00000017421	ACLY	Eutheria
ENSG00000153086	ACMSD	ENSSSCG00000015699	ACMSD	Boreoeutheria
ENSG00000122729	ACO1	ENSSSCG00000023807	ACO1	Boreoeutheria
ENSG00000100412	ACO2	ENSSSCG00000000064	ACO2	Boreoeutheria
ENSG00000102794	ACOD1	ENSSSCG00000009469	ACOD1	Boreoeutheria
ENSG00000162390	ACOT11	ENSSSCG00000037559	ACOT11	Boreoeutheria
ENSG00000172497	ACOT12	ENSSSCG00000036095	ACOT12	Boreoeutheria
ENSG00000112304	ACOT13	ENSSSCG00000036411	ACOT13	Boreoeutheria
ENSG00000205669	ACOT6	ENSSSCG00000002348	ACOT6	Eutheria
ENSG00000097021	ACOT7	ENSSSCG00000003377	ACOT7	Boreoeutheria
ENSG00000101473	ACOT8	ENSSSCG00000007426	ACOT8	Eutheria
ENSG00000123130	ACOT9	ENSSSCG00000012172	ACOT9	Boreoeutheria
ENSG00000161533	ACOX1	ENSSSCG00000017198	ACOX1	Eutheria
ENSG00000168306	ACOX2	ENSSSCG00000011477	ACOX2	Boreoeutheria
ENSG00000087008	ACOX3	ENSSSCG00000008724	ACOX3	Boreoeutheria
ENSG00000153093	ACOXL	ENSSSCG00000037846	ACOXL	Boreoeutheria
ENSG00000143727	ACP1	ENSSSCG00000008659	ACP1	Boreoeutheria
ENSG00000134575	ACP2	ENSSSCG00000013242	ACP2	Boreoeutheria
ENSG00000014257	ACP3	ENSSSCG00000011627	ACP3	Boreoeutheria
ENSG00000142513	ACP4	ENSSSCG00000024736	ACP4	Boreoeutheria
ENSG00000102575	ACP5	ENSSSCG00000032282	ACP5	Eutheria
ENSG00000162836	ACP6	ENSSSCG00000006697	ACP6	Boreoeutheria
ENSG00000183760	ACP7	ENSSSCG00000002971	ACP7	Boreoeutheria
ENSG00000100312	ACR	ENSSSCG00000021265	ACR	Boreoeutheria
ENSG00000111644	ACRBP	ENSSSCG00000000700	ACRBP	Boreoeutheria
ENSG00000134940	ACRV1	ENSSSCG00000015216	ACRV1	Boreoeutheria
ENSG00000103740	ACSBG1	ENSSSCG00000001760	ACSBG1	Boreoeutheria
ENSG00000130377	ACSBG2	ENSSSCG00000013536	ACSBG2	Boreoeutheria
ENSG00000167107	ACSF2	ENSSSCG00000017566	ACSF2	Boreoeutheria
ENSG00000176715	ACSF3	ENSSSCG00000023866	ACSF3	Eutheria
ENSG00000151726	ACSL1	ENSSSCG00000015784	ACSL1	Boreoeutheria
ENSG00000123983	ACSL3	ENSSSCG00000016223	ACSL3	Boreoeutheria
ENSG00000068366	ACSL4	ENSSSCG00000012583	ACSL4	Boreoeutheria
ENSG00000197142	ACSL5	ENSSSCG00000031789	ACSL5	Boreoeutheria
ENSG00000164398	ACSL6	ENSSSCG00000014272	ACSL6	Eutheria
ENSG00000005187	ACSM3	ENSSSCG00000007857	ACSM3	Boreoeutheria
ENSG00000215009	ACSM4	ENSSSCG00000030033	ACSM4	Boreoeutheria
ENSG00000183549	ACSM5	ENSSSCG00000026453	ACSM5	Boreoeutheria
ENSG00000154930	ACSS1	ENSSSCG00000007133	ACSS1	Boreoeutheria
ENSG00000131069	ACSS2	ENSSSCG00000007286	ACSS2	Boreoeutheria
ENSG00000111058	ACSS3	ENSSSCG00000000939	ACSS3	Boreoeutheria
ENSG00000143632	ACTA1	ENSSSCG00000010190	ACTA1	Boreoeutheria
ENSG00000107796	ACTA2	ENSSSCG00000010447	ACTA2	Boreoeutheria
ENSG00000075624	ACTB	ENSSSCG00000007585	ACTB	Amniota
ENSG00000169067	ACTBL2	ENSSSCG00000016923	ACTBL2	Eutheria
ENSG00000159251	ACTC1	ENSSSCG00000004803	ACTC1	Eutheria
ENSG00000184009	ACTG1	ENSSSCG00000028355	ACTG1	Amniota
ENSG00000163017	ACTG2	ENSSSCG00000008294	ACTG2	Boreoeutheria
ENSG00000288649	ACTL10	ENSSSCG00000044750	ACTL10	Boreoeutheria
ENSG00000136518	ACTL6A	ENSSSCG00000011762	ACTL6A	Boreoeutheria
ENSG00000187003	ACTL7A	ENSSSCG00000005439	ACTL7A	Boreoeutheria
ENSG00000148156	ACTL7B	ENSSSCG00000005438	ACTL7B	Boreoeutheria
ENSG00000117148	ACTL8	ENSSSCG00000024062	ACTL8	Boreoeutheria
ENSG00000181786	ACTL9	ENSSSCG00000013605	ACTL9	Boreoeutheria
ENSG00000188493	ACTMAP	ENSSSCG00000040533	ACTMAP	Boreoeutheria
ENSG00000072110	ACTN1	ENSSSCG00000036702	ACTN1	Euteleostomi
ENSG00000077522	ACTN2	ENSSSCG00000010144	ACTN2	Mammalia
ENSG00000248746	ACTN3	ENSSSCG00000038323	ACTN3	Boreoeutheria
ENSG00000130402	ACTN4	ENSSSCG00000002965	ACTN4	Eutheria
ENSG00000131966	ACTR10	ENSSSCG00000022299	ACTR10	Boreoeutheria
ENSG00000138107	ACTR1A	ENSSSCG00000010585	ACTR1A	Boreoeutheria
ENSG00000115073	ACTR1B	ENSSSCG00000008194	ACTR1B	Eutheria
ENSG00000138071	ACTR2	ENSSSCG00000008358	ACTR2	Boreoeutheria
ENSG00000115091	ACTR3	ENSSSCG00000015710	ACTR3	Euteleostomi
ENSG00000101442	ACTR5	ENSSSCG00000007349	ACTR5	Boreoeutheria
ENSG00000075089	ACTR6	ENSSSCG00000025682	ACTR6	Eutheria
ENSG00000113812	ACTR8	ENSSSCG00000011458	ACTR8	Boreoeutheria
ENSG00000123165	ACTRT1	ENSSSCG00000012648	ACTRT1	Boreoeutheria
ENSG00000169717	ACTRT2	ENSSSCG00000003357	ACTRT2	Boreoeutheria
ENSG00000184378	ACTRT3	ENSSSCG00000039994	ACTRT3	Boreoeutheria
ENSG00000115170	ACVR1	ENSSSCG00000015874	ACVR1	Eutheria
ENSG00000135503	ACVR1B	ENSSSCG00000000233	ACVR1B	Boreoeutheria
ENSG00000123612	ACVR1C	ENSSSCG00000015873	ACVR1C	Boreoeutheria
ENSG00000121989	ACVR2A	ENSSSCG00000015669	ACVR2A	Boreoeutheria
ENSG00000114739	ACVR2B	ENSSSCG00000011257	ACVR2B	Eutheria
ENSG00000139567	ACVRL1	ENSSSCG00000000232	ACVRL1	Eutheria
ENSG00000243989	ACY1	ENSSSCG00000023325	ACY1	Boreoeutheria
ENSG00000170634	ACYP2	ENSSSCG00000025224	ACYP2	Boreoeutheria
ENSG00000196839	ADA	ENSSSCG00000021255	ADA	Eutheria
ENSG00000093072	ADA2	ENSSSCG00000035218	ADA2	Boreoeutheria
ENSG00000164113	ADAD1	ENSSSCG00000009089	ADAD1	Boreoeutheria
ENSG00000140955	ADAD2	ENSSSCG00000034385	ADAD2	Boreoeutheria
ENSG00000168803	ADAL	ENSSSCG00000004710	ADAL	Boreoeutheria
ENSG00000137845	ADAM10	ENSSSCG00000004595	ADAM10	Boreoeutheria
ENSG00000073670	ADAM11	ENSSSCG00000017349	ADAM11	Eutheria
ENSG00000148848	ADAM12	ENSSSCG00000010746	ADAM12	Boreoeutheria
ENSG00000143537	ADAM15	ENSSSCG00000006533	ADAM15	Boreoeutheria
ENSG00000151694	ADAM17	ENSSSCG00000008641	ADAM17	Boreoeutheria
ENSG00000168619	ADAM18	ENSSSCG00000007008	ADAM18	Boreoeutheria
ENSG00000135074	ADAM19	ENSSSCG00000017052	ADAM19	Boreoeutheria
ENSG00000104755	ADAM2	ENSSSCG00000045907	ADAM2	Boreoeutheria
ENSG00000134007	ADAM20	ENSSSCG00000034126	ADAM20	Boreoeutheria
ENSG00000139985	ADAM21	ENSSSCG00000002322	ADAM21	Boreoeutheria
ENSG00000008277	ADAM22	ENSSSCG00000015297	ADAM22	Boreoeutheria
ENSG00000114948	ADAM23	ENSSSCG00000016131	ADAM23	Eutheria
ENSG00000042980	ADAM28	ENSSSCG00000009644	ADAM28	Boreoeutheria
ENSG00000168594	ADAM29	ENSSSCG00000053572	ADAM29	Boreoeutheria
ENSG00000134249	ADAM30	ENSSSCG00000006713	ADAM30	Boreoeutheria
ENSG00000197140	ADAM32	ENSSSCG00000015807	ADAM32	Boreoeutheria
ENSG00000149451	ADAM33	ENSSSCG00000007145	ADAM33	Boreoeutheria
ENSG00000069206	ADAM7	ENSSSCG00000009646	ADAM7	Boreoeutheria
ENSG00000151651	ADAM8	ENSSSCG00000010772	ADAM8	Boreoeutheria
ENSG00000168615	ADAM9	ENSSSCG00000015808	ADAM9	Boreoeutheria
ENSG00000134028	ADAMDEC1	ENSSSCG00000009645	ADAMDEC1	Boreoeutheria
ENSG00000154734	ADAMTS1	ENSSSCG00000012026	ADAMTS1	Boreoeutheria
ENSG00000142303	ADAMTS10	ENSSSCG00000026994	ADAMTS10	Boreoeutheria
ENSG00000151388	ADAMTS12	ENSSSCG00000016816	ADAMTS12	Boreoeutheria
ENSG00000160323	ADAMTS13	ENSSSCG00000021241	ADAMTS13	Eutheria
ENSG00000138316	ADAMTS14	ENSSSCG00000010272	ADAMTS14	Boreoeutheria
ENSG00000166106	ADAMTS15	ENSSSCG00000015250	ADAMTS15	Eutheria
ENSG00000145536	ADAMTS16	ENSSSCG00000017109	ADAMTS16	Boreoeutheria
ENSG00000140470	ADAMTS17	ENSSSCG00000038452	ADAMTS17	Boreoeutheria
ENSG00000140873	ADAMTS18	ENSSSCG00000038627	ADAMTS18	Boreoeutheria
ENSG00000145808	ADAMTS19	ENSSSCG00000014259	ADAMTS19	Boreoeutheria
ENSG00000087116	ADAMTS2	ENSSSCG00000024043	ADAMTS2	Boreoeutheria
ENSG00000173157	ADAMTS20	ENSSSCG00000000795	ADAMTS20	Boreoeutheria
ENSG00000156140	ADAMTS3	ENSSSCG00000038180	ADAMTS3	Boreoeutheria
ENSG00000158859	ADAMTS4	ENSSSCG00000006359	ADAMTS4	Boreoeutheria
ENSG00000154736	ADAMTS5	ENSSSCG00000012027	ADAMTS5	Boreoeutheria
ENSG00000049192	ADAMTS6	ENSSSCG00000016943	ADAMTS6	Boreoeutheria
ENSG00000136378	ADAMTS7	ENSSSCG00000001765	ADAMTS7	Eutheria
ENSG00000134917	ADAMTS8	ENSSSCG00000015249	ADAMTS8	Boreoeutheria
ENSG00000163638	ADAMTS9	ENSSSCG00000011496	ADAMTS9	Boreoeutheria
ENSG00000178031	ADAMTSL1	ENSSSCG00000040366	ADAMTSL1	Boreoeutheria
ENSG00000197859	ADAMTSL2	ENSSSCG00000026425	ADAMTSL2	Theria
ENSG00000156218	ADAMTSL3	ENSSSCG00000001793	ADAMTSL3	Boreoeutheria
ENSG00000143382	ADAMTSL4	ENSSSCG00000006651	ADAMTSL4	Boreoeutheria
ENSG00000185761	ADAMTSL5	ENSSSCG00000013433	ADAMTSL5	Boreoeutheria
ENSG00000105963	ADAP1	ENSSSCG00000007547	ADAP1	Boreoeutheria
ENSG00000184060	ADAP2	ENSSSCG00000017738	ADAP2	Boreoeutheria
ENSG00000160710	ADAR	ENSSSCG00000006543	ADAR	Boreoeutheria
ENSG00000197381	ADARB1	ENSSSCG00000012089	ADARB1	Boreoeutheria
ENSG00000185736	ADARB2	ENSSSCG00000011160	ADARB2	Boreoeutheria
ENSG00000065457	ADAT1	ENSSSCG00000002706	ADAT1	Boreoeutheria
ENSG00000189007	ADAT2	ENSSSCG00000039598	ADAT2	Boreoeutheria
ENSG00000213638	ADAT3	ENSSSCG00000038810	ADAT3	Eutheria
ENSG00000063761	ADCK1	ENSSSCG00000002408	ADCK1	Boreoeutheria
ENSG00000133597	ADCK2	ENSSSCG00000016496	ADCK2	Boreoeutheria
ENSG00000173137	ADCK5	ENSSSCG00000005907	ADCK5	Boreoeutheria
ENSG00000164742	ADCY1	ENSSSCG00000016726	ADCY1	Boreoeutheria
ENSG00000143199	ADCY10	ENSSSCG00000006305	ADCY10	Eutheria
ENSG00000078295	ADCY2	ENSSSCG00000017101	ADCY2	Boreoeutheria
ENSG00000138031	ADCY3	ENSSSCG00000008578	ADCY3	Eutheria
ENSG00000129467	ADCY4	ENSSSCG00000001988	ADCY4	Boreoeutheria
ENSG00000173175	ADCY5	ENSSSCG00000027952	ADCY5	Boreoeutheria
ENSG00000174233	ADCY6	ENSSSCG00000000175	ADCY6	Boreoeutheria
ENSG00000121281	ADCY7	ENSSSCG00000039408	ADCY7	Boreoeutheria
ENSG00000155897	ADCY8	ENSSSCG00000031717	ADCY8	Eutheria
ENSG00000162104	ADCY9	ENSSSCG00000007950	ADCY9	Boreoeutheria
ENSG00000141433	ADCYAP1	ENSSSCG00000035186	ADCYAP1	Boreoeutheria
ENSG00000078549	ADCYAP1R1	ENSSSCG00000016672	ADCYAP1R1	Eutheria
ENSG00000087274	ADD1	ENSSSCG00000008692	ADD1	Gnathostomata
ENSG00000075340	ADD2	ENSSSCG00000020736	ADD2	Eutheria
ENSG00000148700	ADD3	ENSSSCG00000010621	ADD3	Boreoeutheria
ENSG00000118492	ADGB	ENSSSCG00000004114	ADGB	Boreoeutheria
ENSG00000197177	ADGRA1	ENSSSCG00000039199	ADGRA1	Boreoeutheria
ENSG00000020181	ADGRA2	ENSSSCG00000015825	ADGRA2	Boreoeutheria
ENSG00000152990	ADGRA3	ENSSSCG00000008753	ADGRA3	Boreoeutheria
ENSG00000181790	ADGRB1	ENSSSCG00000035891	ADGRB1	Boreoeutheria
ENSG00000121753	ADGRB2	ENSSSCG00000003604	ADGRB2	Boreoeutheria
ENSG00000135298	ADGRB3	ENSSSCG00000004270	ADGRB3	Boreoeutheria
ENSG00000111452	ADGRD1	ENSSSCG00000009745	ADGRD1	Eutheria
ENSG00000180264	ADGRD2	ENSSSCG00000005591	ADGRD2	Eutheria
ENSG00000174837	ADGRE1	ENSSSCG00000013556	ENSSSCG00000013556	Eutheria
ENSG00000131355	ADGRE3	ENSSSCG00000013787	ADGRE3	Boreoeutheria
ENSG00000123146	ADGRE5	ENSSSCG00000013775	ADGRE5	Boreoeutheria
ENSG00000153292	ADGRF1	ENSSSCG00000001726	ADGRF1	Boreoeutheria
ENSG00000173567	ADGRF3	ENSSSCG00000008570	ADGRF3	Boreoeutheria
ENSG00000153294	ADGRF4	ENSSSCG00000022089	ADGRF4	Boreoeutheria
ENSG00000069122	ADGRF5	ENSSSCG00000001725	ADGRF5	Eutheria
ENSG00000205336	ADGRG1	ENSSSCG00000002815	ADGRG1	Boreoeutheria
ENSG00000173698	ADGRG2	ENSSSCG00000029756	ADGRG2	Boreoeutheria
ENSG00000182885	ADGRG3	ENSSSCG00000002814	ADGRG3	Eutheria
ENSG00000159618	ADGRG5	ENSSSCG00000025503	ADGRG5	Boreoeutheria
ENSG00000112414	ADGRG6	ENSSSCG00000004139	ADGRG6	Boreoeutheria
ENSG00000144820	ADGRG7	ENSSSCG00000011962	ADGRG7	Boreoeutheria
ENSG00000072071	ADGRL1	ENSSSCG00000013773	ADGRL1	Boreoeutheria
ENSG00000117114	ADGRL2	ENSSSCG00000003761	ADGRL2	Eutheria
ENSG00000150471	ADGRL3	ENSSSCG00000026129	ADGRL3	Boreoeutheria
ENSG00000162618	ADGRL4	ENSSSCG00000003762	ADGRL4	Boreoeutheria
ENSG00000164199	ADGRV1	ENSSSCG00000035025	ADGRV1	Boreoeutheria
ENSG00000198099	ADH4	ENSSSCG00000009184	ADH4	Eutheria
ENSG00000196344	ADH7	ENSSSCG00000062441	ADH7	Boreoeutheria
ENSG00000147576	ADHFE1	ENSSSCG00000006213	ADHFE1	Boreoeutheria
ENSG00000182551	ADI1	ENSSSCG00000029161	ADI1	Boreoeutheria
ENSG00000182035	ADIG	ENSSSCG00000007346	ADIG	Boreoeutheria
ENSG00000181092	ADIPOQ	ENSSSCG00000039103	ADIPOQ	Boreoeutheria
