gene	Cell type
MFAP4	fibroblast
CFD	fibroblast
FSTL1	fibroblast
TNFAIP6	fibroblast
LAMA2	fibroblast
SERPINF1	fibroblast
ABCA6	fibroblast
COL5A2	fibroblast
PRRX1	fibroblast
SFRP2	fibroblast
CTSK	fibroblast
DPT	fibroblast
FBN1	fibroblast
MGP	fibroblast
GEM	fibroblast
FBLN5	fibroblast
IGFBP6	fibroblast
OGN	fibroblast
ADH1B	fibroblast
C7_ENSG00000112936	fibroblast
CD3D	imm T
CD1E	imm T
CD3E	imm T
CD3G	imm T
TCF7	imm T
CD8B	imm T
TRBC2	imm T
CD1B	imm T
LEF1	imm T
MZB1	imm T
TRBC1	imm T
CD8A	imm T
ADA	imm T
GIHCG	imm T
SH2D1A	imm T
LCK	imm T
SMPD3	imm T
PTCRA	imm T
SEPTIN6	imm T
SH3TC1	imm T
PTP4A2	imm T
SATB1	imm T
RNASEH2B	imm T
MAL	imm T
ARPP21	imm T
CD1A	imm T
ELOVL4	imm T
STMN1	imm T
NUCB2	imm T
RAG1	imm T
H2AZ2	imm T
RP11-144L1.4	imm T
CD99	imm T
TRAC	imm T
RGS10	imm T
DNTT	imm T
TUBB	imm T
SMC4	imm T
H4C3	imm T
CD2	imm T
LTB	imm T
ILF2	imm T
RRM2	imm T
CBX3	imm T
RAG2	imm T
AQP3	imm T
HMGN2	imm T
CD1C	imm T
SIT1	imm T
CD38	imm T
APBB1IP	imm T
MKI67	imm T
HMGA1	imm T
NUSAP1	imm T
CD247	imm T
GRAP2	imm T
HNRNPK	imm T
PTPRC	T
CD52	T
LAPTM5	leukocyte
CORO1A	leukocyte
ARHGDIB	leukocyte
CD37	leukocyte
HCST	T
ITGB2	leukocyte
RAC2	leukocyte
CD48	T
FYB1	T
LIMD2	leukocyte
LCP1	leukocyte
GPSM3	leukocyte
TYROBP	leukocyte
CXCR4	T
LSP1	leukocyte
CD69	T
CD53	leukocyte
FXYD5	leukocyte
FCER1G	leukocyte
B2M	leukocyte
HLA-E	leukocyte
CD7	imm T
IL7R	T
CYBA	leukocyte
SRGN	leukocyte
HLA-C	leukocyte
NKG7	T
GMFG	leukocyte
SELL	leukocyte
CYTIP	T
CTSS	leukocyte
IFITM1	T
TSC22D3	leukocyte
STK17B	leukocyte
CST7	T
C1orf162	leukocyte
CCL5	T
PTPRCAP	T
IL2RG	T
ALOX5AP	leukocyte
LST1	leukocyte
GZMA	T
CTSW	T
BST2	mTEC
KRT15	mTEC
MTRNR2L12	mTEC
CH25H	mTEC
SAA1	mTEC
FN1	mTEC
PNRC1	mTEC
KLF10	mTEC
ZFP36L1	mTEC
CDKN1A	mTEC
HSPB8	mTEC
PTGDS	mTEC
CSRP2	mTEC
NFKBIA	mTEC
CIRBP	mTEC
ICAM1	mTEC
TRIB1	mTEC
ITM2B	mTEC
TNFRSF12A	mTEC
PAX9	mTEC
HCAR2	mTEC
CCL2	mTEC
ASCL2	stem
LGR5	stem
OLFM4	stem
RNF43	stem
CD40LG	T
CD96	T
THEMIS	T
CCL3	T
CCL4	T
CCR6	T
CD4	T
CRIP1	T
CXCR6	T
DUSP2	T
FOXP3	T
GNLY	T
GZMB	T
GZMH	T
GZMK	T
HOPX	T
IFI6	T
IFIT3	T
IL2	T
IL32	T
IL4R	T
ITGA1	T
KLRD1	T
KLRG1	T
LGALS3	T
NME1	T
ODC1	T
PDZD8	T
PRF1	T
PSAT1	T
PYCR1	T
SOCS1	T
STAT1	T
TIGIT	T
TNF	T
TNFRSF25	T
TNFRSF4	T
TRAT1	T
TRGC2	T
SARAF	T
LEPROTL1	T
EVL	T
GIMAP7	T
ACAP1	T
GZMM	T
PIK3IP1	T
LAT	T
NOSIP	T
LINC00861	T
HNRNPA1	imm T
TRDC	imm T
PTMA	imm T
LDHB	imm T
RTRAF	imm T
HMGB1	imm T
RAN	imm T
H2AZ1	imm T
IGLL1	imm T
CDK6-AS1	imm T
CNN1	VASM
MYOCD	VASM
DES	VASM
CD36	VASM
MCAM	VASM
MYH11	VASM
TAGLN	VASM
TPM2	VASM
CALD1	VASM
MYL9	VASM
BGN	VASM
C11orf96	VASM
SEPTIN7	VASM
IGFBP7	VASM
MT1A	VASM
RGS5_ENSG00000143248	VASM
NOTCH3	VASM
ADAMTS1	VASM
TPM1	VASM
PPP1R14A	VASM
PDGFRB	VASM
ADIRF	VASM
TINAGL1	VASM
RGS16	VASM
MFGE8	VASM
SOD3	VASM
GADD45B	VASM
EDNRA	VASM
FRZB	VASM
SERTAD1	VASM
TGFB1I1	VASM
VIM	VASM
SPARC	VASM
ISYNA1	VASM
ADAMTS4	VASM
SOCS3	VASM
